id_cliente,nombre,email,genero,fecha_nacimiento,ciudad,segmento,edad
1,José Chávez Pérez,jose.chavez.perez1@gmail.com,Masculino,2011-11-24,San Miguel,<Na>,14.0
2,Daniela Rojas Ortiz,daniela.rojas.ortiz2@seguro.sv,,,Santa Ana,<Na>,
3,Ricardo Cruz Flores,ricardo.cruz.flores3@example.com,Masculino,,San Miguel,<Na>,
4,María Pérez Pérez,maria.perez.perez4@correo.com,Masculino,,La Libertad,Regular,
5,Fernanda Chávez Rojas,fernanda.chavez.rojas5@seguro.sv,,1945-08-02,San Salvador,Pyme,80.0
6,Ricardo López Vásquez,ricardo.lopez.vasquez6@seguro.sv,Masculino,1966-10-15,Sonsonate,Pyme,59.0
7,Diego Flores Rojas,diego.flores.rojas0@example.com,Masculino,,Santa Ana,Premium,
8,Karla Ortiz López,karla.ortiz.lopez1@mail.com,Masculino,,Santa Ana,Premium,
9,Juan Flores Morales,juan.flores.morales2@example.com,Femenino,,San Miguel,Regular,
10,María Aguilar López,maria.aguilar.lopez3@example.com,Masculino,,San Salvador,Premium,
11,Sofía López Torres,sofia.lopez.torres4@seguro.sv,Masculino,,Sonsonate,Pyme,
12,Valeria Vásquez Gómez,valeria.vasquez.gomez5@mail.com,,,San Salvador,Vip,
13,Carlos Santos Morales,carlos.santos.morales6@correo.com,Masculino,1975-08-02,Santa Ana,Regular,50.0
14,Karla Hernández Santos,karla.hernandez.santos0@gmail.com,,,San Salvador,Regular,
15,Ana Rojas Aguilar,ana.rojas.aguilar1@example.com,Masculino,,Santa Ana,Premium,
16,Daniela Flores Torres,daniela.flores.torres2@seguro.sv,,,Sonsonate,Regular,
17,Diego García Flores,diego.garcia.flores3@seguro.sv,Femenino,1980-06-10,La Libertad,Vip,45.0
18,Ricardo Reyes Gómez,ricardo.reyes.gomez4@example.com,Femenino,,Sonsonate,<Na>,
19,Ana Mendoza Ramírez,ana.mendoza.ramirez5@seguro.sv,,1947-09-06,Santa Ana,Pyme,78.0
20,Paula López García,paula.lopez.garcia6@correo.com,Femenino,1966-05-25,San Miguel,<Na>,59.0
21,Daniela Vásquez Rojas,daniela.vasquez.rojas0@example.com,,,San Miguel,Premium,
22,José Ramírez Reyes,jose.ramirez.reyes1@correo.com,Masculino,,La Libertad,<Na>,
23,Daniela Torres Castillo,daniela.torres.castillo2@example.com,Masculino,,Santa Ana,Vip,
24,Fernanda Pérez Flores,fernanda.perez.flores3@gmail.com,Femenino,,La Libertad,Vip,
